indicator,flag
Imports of goods and services (annual % growth),0
"Imports of goods and services (BoP, current US$)",0
Imports of goods and services (constant 2010 US$),0
Imports of goods and services (constant LCU),0
Imports of goods and services (current LCU),0
Imports of goods and services (current US$),0
"Imports of goods, services and primary income (BoP, current US$)",0
"Incidence of HIV (per 1,000 uninfected population ages 15-49)",0
"Incidence of malaria (per 1,000 population at risk)",0
"Incidence of tuberculosis (per 100,000 people)",0
Income share held by fourth 20%,0
Income share held by highest 10%,0
Income share held by highest 20%,0
Income share held by lowest 10%,0
Income share held by lowest 20%,0
Income share held by second 20%,0
Income share held by third 20%,0
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),0
Increase in poverty gap at $1.90 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),0
Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (% of poverty line),0
Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),0
Individuals using the Internet (% of population),0
"Industrial design applications, nonresident, by count",0
"Industrial design applications, resident, by count",0
"Industry (including construction), value added (% of GDP)",0
"Industry (including construction), value added (annual % growth)",0
"Industry (including construction), value added (constant 2010 US$)",0
"Industry (including construction), value added (constant LCU)",0
"Industry (including construction), value added (current LCU)",0
"Industry (including construction), value added (current US$)",0
"Industry (including construction), value added per worker (constant 2010 US$)",0
"Inflation, consumer prices (annual %)",0
"Inflation, GDP deflator (annual %)",0
"Inflation, GDP deflator: linked series (annual %)",0
Informal employment (% of total non-agricultural employment),0
"Informal employment, female (% of total non-agricultural employment)",0
"Informal employment, male (% of total non-agricultural employment)",0
Informal payments to public officials (% of firms),0
Insurance and financial services (% of commercial service exports),0
Insurance and financial services (% of commercial service imports),0
"Insurance and financial services (% of service exports, BoP)",0
"Insurance and financial services (% of service imports, BoP)",0
"Intentional homicides (per 100,000 people)",0
"Intentional homicides, female (per 100,000 female)",0
"Intentional homicides, male (per 100,000 male)",0
Interest payments (% of expense),0
Interest payments (% of revenue),0
Interest payments (current LCU),0
"Interest rate spread (lending rate minus deposit rate, %)",0
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",0
"Internally displaced persons, new displacement associated with disasters (number of cases)",0
"Internally displaced persons, total displaced by conflict and violence (number of people)",0
International migrant stock (% of population),0
"International migrant stock, total",0
"International tourism, expenditures (% of total imports)",0
"International tourism, expenditures (current US$)",0
"International tourism, expenditures for passenger transport items (current US$)",0
"International tourism, expenditures for travel items (current US$)",0
"International tourism, number of arrivals",0
"International tourism, number of departures",0
"International tourism, receipts (% of total exports)",0
"International tourism, receipts (current US$)",0
"International tourism, receipts for passenger transport items (current US$)",0
"International tourism, receipts for travel items (current US$)",0
Investment in energy with private participation (current US$),0
Investment in ICT with private participation (current US$),0
Investment in transport with private participation (current US$),0
Investment in water and sanitation with private participation (current US$),0
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",0
"Labor force participation rate for ages 15-24, total (%) (national estimate)",0
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",0
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",0
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",0
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0
Labor force with advanced education (% of total working-age population with advanced education),0
"Labor force with advanced education, female (% of female working-age population with advanced education)",0
"Labor force with advanced education, male (% of male working-age population with advanced education)",0
Labor force with basic education (% of total working-age population with basic education),0
"Labor force with basic education, female (% of female working-age population with basic education)",0
"Labor force with basic education, male (% of male working-age population with basic education)",0
Labor force with intermediate education (% of total working-age population with intermediate education),0
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",0
"Labor force, female (% of total labor force)",0
"Labor force, total",0
Labor tax and contributions (% of commercial profits),0
Land area (sq. km),0
Land area where elevation is below 5 meters (% of total land area),0
Land under cereal production (hectares),0
Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),0
Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no),0
Law mandates paid or unpaid maternity leave (1=yes; 0=no),0
Law prohibits or invalidates child or early marriage (1=yes; 0=no),0
"Lead time to export, median case (days)",0
"Lead time to import, median case (days)",0
Legislation exists on domestic violence (1=yes; 0=no),0
Lending interest rate (%),0
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0
"Life expectancy at birth, female (years)",0
"Life expectancy at birth, male (years)",0
"Life expectancy at birth, total (years)",0
Lifetime risk of maternal death (%),0
Lifetime risk of maternal death (1 in: rate varies by country),0
Liner shipping connectivity index (maximum value in 2004 = 100),0
"Listed domestic companies, total",0
"Literacy rate, adult female (% of females ages 15 and above)",0
"Literacy rate, adult male (% of males ages 15 and above)",0
"Literacy rate, adult total (% of people ages 15 and above)",0
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0
"Literacy rate, youth female (% of females ages 15-24)",0
"Literacy rate, youth male (% of males ages 15-24)",0
"Literacy rate, youth total (% of people ages 15-24)",0
Livestock production index (2004-2006 = 100),0
Logistics performance index: Ability to track and trace consignments (1=low to 5=high),0
Logistics performance index: Competence and quality of logistics services (1=low to 5=high),0
Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),0
Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),0
Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),0
Logistics performance index: Overall (1=low to 5=high),0
Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),0
Losses due to theft and vandalism (% of annual sales of affected firms),0
Low-birthweight babies (% of births),0
"Lower secondary completion rate, female (% of relevant age group)",0
"Lower secondary completion rate, male (% of relevant age group)",0
"Lower secondary completion rate, total (% of relevant age group)",0
Lower secondary school starting age (years),0
Machinery and transport equipment (% of value added in manufacturing),0
"Mammal species, threatened",0
Manufactures exports (% of merchandise exports),0
Manufactures imports (% of merchandise imports),0
"Manufacturing, value added (% of GDP)",0
"Manufacturing, value added (annual % growth)",0
"Manufacturing, value added (constant 2010 US$)",0
"Manufacturing, value added (constant LCU)",0
"Manufacturing, value added (current LCU)",0
"Manufacturing, value added (current US$)",0
Marine protected areas (% of territorial waters),0
Market capitalization of listed domestic companies (% of GDP),0
Market capitalization of listed domestic companies (current US$),0
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0
"Maternal mortality ratio (national estimate, per 100,000 live births)",0
Medium and high-tech exports (% manufactured exports),0
Medium and high-tech Industry (including construction) (% manufacturing value added),0
Merchandise exports (current US$),0
Merchandise exports by the reporting economy (current US$),0
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",0
Merchandise exports to economies in the Arab World (% of total merchandise exports),0
Merchandise exports to high-income economies (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),0
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),0
Merchandise imports (current US$),0
Merchandise imports by the reporting economy (current US$),0
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",0
Merchandise imports from economies in the Arab World (% of total merchandise imports),0
Merchandise imports from high-income economies (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),0
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),0
Merchandise trade (% of GDP),0
Methane emissions (% change from 1990),0
Methane emissions (kt of CO2 equivalent),0
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),0
Methodology assessment of statistical capacity (scale 0 - 100),0
Military expenditure (% of GDP),0
Military expenditure (% of general government expenditure),0
Military expenditure (current LCU),0
Military expenditure (current USD),0
Mineral rents (% of GDP),0
Mobile cellular subscriptions,0
Mobile cellular subscriptions (per 100 people),0
"Mortality caused by road traffic injury (per 100,000 people)",0
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",0
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",0
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",0
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",0
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",0
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",0
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",0
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",0
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",0
"Mortality rate, adult, female (per 1,000 female adults)",0
"Mortality rate, adult, male (per 1,000 male adults)",0
"Mortality rate, infant (per 1,000 live births)",0
"Mortality rate, infant, female (per 1,000 live births)",0
"Mortality rate, infant, male (per 1,000 live births)",0
"Mortality rate, neonatal (per 1,000 live births)",0
"Mortality rate, under-5 (per 1,000 live births)",0
"Mortality rate, under-5, female (per 1,000 live births)",0
"Mortality rate, under-5, male (per 1,000 live births)",0
Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no),0
Multilateral debt service (% of public and publicly guaranteed debt service),0
"Multilateral debt service (TDS, current US$)",0
Natural gas rents (% of GDP),0
Net acquisition of financial assets (% of GDP),0
Net acquisition of financial assets (current LCU),0
Net barter terms of trade index (2000 = 100),0
"Net bilateral aid flows from DAC donors, Australia (current US$)",0
"Net bilateral aid flows from DAC donors, Austria (current US$)",0
"Net bilateral aid flows from DAC donors, Belgium (current US$)",0
"Net bilateral aid flows from DAC donors, Canada (current US$)",0
"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",0
"Net bilateral aid flows from DAC donors, Denmark (current US$)",0
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",0
"Net bilateral aid flows from DAC donors, Finland (current US$)",0
"Net bilateral aid flows from DAC donors, France (current US$)",0
"Net bilateral aid flows from DAC donors, Germany (current US$)",0
"Net bilateral aid flows from DAC donors, Greece (current US$)",0
"Net bilateral aid flows from DAC donors, Iceland (current US$)",0
"Net bilateral aid flows from DAC donors, Ireland (current US$)",0
"Net bilateral aid flows from DAC donors, Italy (current US$)",0
"Net bilateral aid flows from DAC donors, Japan (current US$)",0
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",0
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",0
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",0
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",0
"Net bilateral aid flows from DAC donors, Norway (current US$)",0
"Net bilateral aid flows from DAC donors, Poland (current US$)",0
"Net bilateral aid flows from DAC donors, Portugal (current US$)",0
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",0
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",0
"Net bilateral aid flows from DAC donors, Spain (current US$)",0
"Net bilateral aid flows from DAC donors, Sweden (current US$)",0
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",0
"Net bilateral aid flows from DAC donors, Total (current US$)",0
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",0
"Net bilateral aid flows from DAC donors, United States (current US$)",0
"Net capital account (BoP, current US$)",0
Net domestic credit (current LCU),0
"Net errors and omissions (BoP, current US$)",0
"Net financial account (BoP, current US$)",0
"Net financial flows, bilateral (NFL, current US$)",0
"Net financial flows, IBRD (NFL, current US$)",0
"Net financial flows, IDA (NFL, current US$)",0
"Net financial flows, IMF concessional (NFL, current US$)",0
"Net financial flows, IMF nonconcessional (NFL, current US$)",0
"Net financial flows, multilateral (NFL, current US$)",0
"Net financial flows, others (NFL, current US$)",0
"Net financial flows, RDB concessional (NFL, current US$)",0
"Net financial flows, RDB nonconcessional (NFL, current US$)",0
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",0
Net foreign assets (current LCU),0
"Net incurrence of liabilities, total (% of GDP)",0
"Net incurrence of liabilities, total (current LCU)",0
Net intake rate in grade 1 (% of official school-age population),0
"Net intake rate in grade 1, female (% of official school-age population)",0
"Net intake rate in grade 1, male (% of official school-age population)",0
Net investment in nonfinancial assets (% of GDP),0
Net investment in nonfinancial assets (current LCU),0
Net lending (+) / net borrowing (-) (% of GDP),0
Net lending (+) / net borrowing (-) (current LCU),0
Net migration,0
Net ODA provided to the least developed countries (% of GNI),0
"Net ODA provided, to the least developed countries (current US$)",0
"Net ODA provided, total (% of GNI)",0
"Net ODA provided, total (constant 2015 US$)",0
"Net ODA provided, total (current US$)",0
Net ODA received (% of central government expense),0
Net ODA received (% of GNI),0
Net ODA received (% of gross capital formation),0
"Net ODA received (% of imports of goods, services and primary income)",0
Net ODA received per capita (current US$),0
Net official aid received (constant 2015 US$),0
Net official aid received (current US$),0
Net official development assistance and official aid received (constant 2015 US$),0
Net official development assistance and official aid received (current US$),0
Net official development assistance received (constant 2015 US$),0
Net official development assistance received (current US$),0
"Net official flows from UN agencies, FAO (current US$)",0
"Net official flows from UN agencies, IAEA (current US$)",0
"Net official flows from UN agencies, IFAD (current US$)",0
"Net official flows from UN agencies, ILO (current US$)",0
"Net official flows from UN agencies, UNAIDS (current US$)",0
"Net official flows from UN agencies, UNDP (current US$)",0
"Net official flows from UN agencies, UNECE (current US$)",0
"Net official flows from UN agencies, UNFPA (current US$)",0
"Net official flows from UN agencies, UNHCR (current US$)",0
"Net official flows from UN agencies, UNICEF (current US$)",0
"Net official flows from UN agencies, UNPBF (current US$)",0
"Net official flows from UN agencies, UNRWA (current US$)",0
"Net official flows from UN agencies, UNTA (current US$)",0
"Net official flows from UN agencies, UNWTO (current US$)",0
"Net official flows from UN agencies, WFP (current US$)",0
"Net official flows from UN agencies, WHO (current US$)",0
"Net primary income (BoP, current US$)",0
Net primary income (Net income from abroad) (constant LCU),0
Net primary income (Net income from abroad) (current LCU),0
Net primary income (Net income from abroad) (current US$),0
"Net secondary income (BoP, current US$)",0
Net secondary income (Net current transfers from abroad) (constant LCU),0
Net secondary income (Net current transfers from abroad) (current LCU),0
Net secondary income (Net current transfers from abroad) (current US$),0
"Net trade in goods (BoP, current US$)",0
"Net trade in goods and services (BoP, current US$)",0
"New business density (new registrations per 1,000 people ages 15-64)",0
New businesses registered (number),0
Newborns protected against tetanus (%),0
Nitrous oxide emissions (% change from 1990),0
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),0
Nitrous oxide emissions in energy sector (% of total),0
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),0
Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no),0
Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no),0
Number of deaths ages 5-14 years,0
Number of infant deaths,0
Number of maternal deaths,0
Number of neonatal deaths,0
Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,0
Number of people pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,0
Number of people spending more than 10% of household consumption or income on out-of-pocket health care expenditure,0
Number of people spending more than 25% of household consumption or income on out-of-pocket health care expenditure,0
"Number of surgical procedures (per 100,000 population)",0
Number of under-five deaths,0
"Nurses and midwives (per 1,000 people)",0
"Official exchange rate (LCU per US$, period average)",0
Oil rents (% of GDP),0
Ores and metals exports (% of merchandise exports),0
Ores and metals imports (% of merchandise imports),0
Other expense (% of expense),0
Other expense (current LCU),0
Other greenhouse gas emissions (% change from 1990),0
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",0
Other manufacturing (% of value added in manufacturing),0
Other taxes (% of revenue),0
Other taxes (current LCU),0
Other taxes payable by businesses (% of commercial profits),0
Out-of-pocket expenditure (% of current health expenditure),0
Out-of-pocket expenditure per capita (current US$),0
"Out-of-pocket expenditure per capita, PPP (current international $)",0
"Over-age students, primary (% of enrollment)",0
"Over-age students, primary, female (% of female enrollment)",0
"Over-age students, primary, male (% of male enrollment)",0
"Part time employment, female (% of total female employment)",0
"Part time employment, male (% of total male employment)",0
"Part time employment, total (% of total employment)",0
"Patent applications, nonresidents",0
"Patent applications, residents",0
People practicing open defecation (% of population),0
"People practicing open defecation, rural (% of rural population)",0
"People practicing open defecation, urban (% of urban population)",0
People using at least basic drinking water services (% of population),0
"People using at least basic drinking water services, rural (% of rural population)",0
"People using at least basic drinking water services, urban (% of urban population)",0
People using at least basic sanitation services (% of population),0
"People using at least basic sanitation services, rural (% of rural population)",0
"People using at least basic sanitation services, urban (% of urban population)",0
People using safely managed drinking water services (% of population),0
"People using safely managed drinking water services, rural (% of rural population)",0
"People using safely managed drinking water services, urban (% of urban population)",0
People using safely managed sanitation services (% of population),0
"People using safely managed sanitation services, rural (% of rural population)",0
"People using safely managed sanitation services, urban (% of urban population)",0
People with basic handwashing facilities including soap and water (% of population),0
"People with basic handwashing facilities including soap and water, rural (% of rural population)",0
"People with basic handwashing facilities including soap and water, urban (% of urban population)",0
Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),0
Permanent cropland (% of land area),0
"Persistence to grade 5, female (% of cohort)",0
"Persistence to grade 5, male (% of cohort)",0
"Persistence to grade 5, total (% of cohort)",0
"Persistence to last grade of primary, female (% of cohort)",0
"Persistence to last grade of primary, male (% of cohort)",0
"Persistence to last grade of primary, total (% of cohort)",0
"Personal remittances, paid (current US$)",0
"Personal remittances, received (% of GDP)",0
"Personal remittances, received (current US$)",0
"Personal transfers, receipts (BoP, current US$)",0
PFC gas emissions (thousand metric tons of CO2 equivalent),0
"Physicians (per 1,000 people)",0
"Plant species (higher), threatened",0
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",0
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",0
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",0
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",0
"PNG, bonds (NFL, current US$)",0
"PNG, commercial banks and other creditors (NFL, current US$)",0
"Population ages 00-04, female (% of female population)",0
"Population ages 00-04, male (% of male population)",0
Population ages 0-14 (% of total population),0
"Population ages 0-14, female",0
"Population ages 0-14, female (% of female population)",0
"Population ages 0-14, male",0
"Population ages 0-14, male (% of male population)",0
"Population ages 0-14, total",0
"Population ages 05-09, female (% of female population)",0
"Population ages 05-09, male (% of male population)",0
"Population ages 10-14, female (% of female population)",0
"Population ages 10-14, male (% of male population)",0
"Population ages 15-19, female (% of female population)",0
"Population ages 15-19, male (% of male population)",0
Population ages 15-64 (% of total population),0
"Population ages 15-64, female",0
"Population ages 15-64, female (% of female population)",0
"Population ages 15-64, male",0
"Population ages 15-64, male (% of male population)",0
"Population ages 15-64, total",0
"Population ages 20-24, female (% of female population)",0
"Population ages 20-24, male (% of male population)",0
"Population ages 25-29, female (% of female population)",0
"Population ages 25-29, male (% of male population)",0
"Population ages 30-34, female (% of female population)",0
"Population ages 30-34, male (% of male population)",0
"Population ages 35-39, female (% of female population)",0
"Population ages 35-39, male (% of male population)",0
"Population ages 40-44, female (% of female population)",0
"Population ages 40-44, male (% of male population)",0
"Population ages 45-49, female (% of female population)",0
"Population ages 45-49, male (% of male population)",0
"Population ages 50-54, female (% of female population)",0
"Population ages 50-54, male (% of male population)",0
"Population ages 55-59, female (% of female population)",0
"Population ages 55-59, male (% of male population)",0
"Population ages 60-64, female (% of female population)",0
"Population ages 60-64, male (% of male population)",0
Population ages 65 and above (% of total population),0
"Population ages 65 and above, female",0
"Population ages 65 and above, female (% of female population)",0
"Population ages 65 and above, male",0
"Population ages 65 and above, male (% of male population)",0
"Population ages 65 and above, total",0
"Population ages 65-69, female (% of female population)",0
"Population ages 65-69, male (% of male population)",0
"Population ages 70-74, female (% of female population)",0
"Population ages 70-74, male (% of male population)",0
"Population ages 75-79, female (% of female population)",0
"Population ages 75-79, male (% of male population)",0
"Population ages 80 and above, female (% of female population)",0
"Population ages 80 and above, male (% of male population)",0
Population density (people per sq. km of land area),0
Population growth (annual %),0
Population in largest city,0
Population in the largest city (% of urban population),0
Population in urban agglomerations of more than 1 million,0
Population in urban agglomerations of more than 1 million (% of total population),0
Population living in areas where elevation is below 5 meters (% of total population),0
Population living in slums (% of urban population),0
"Population, female",0
"Population, female (% of total population)",0
"Population, male",0
"Population, male (% of total population)",0
"Population, total",0
"Portfolio equity, net inflows (BoP, current US$)",0
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",0
"Portfolio investment, net (BoP, current US$)",0
Poverty gap at $1.90 a day (2011 PPP) (%),0
Poverty gap at $3.20 a day (2011 PPP) (%),0
Poverty gap at $5.50 a day (2011 PPP) (%),0
Poverty gap at national poverty lines (%),0
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0
Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),0
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),0
Poverty headcount ratio at national poverty lines (% of population),0
Power outages in firms in a typical month (number),0
"PPG, bonds (NFL, current US$)",0
"PPG, commercial banks (NFL, current US$)",0
"PPG, IBRD (DOD, current US$)",0
"PPG, IDA (DOD, current US$)",0
"PPG, official creditors (NFL, current US$)",0
"PPG, other private creditors (NFL, current US$)",0
"PPG, private creditors (NFL, current US$)",0
"PPP conversion factor, GDP (LCU per international $)",0
"PPP conversion factor, private consumption (LCU per international $)",0
Pregnant women receiving prenatal care (%),0
"Preprimary education, duration (years)",0
"Presence of peace keepers (number of troops, police, and military observers in mandate)",0
"Present value of external debt (% of exports of goods, services and primary income)",0
Present value of external debt (% of GNI),0
Present value of external debt (current US$),0
Prevalence of anemia among children (% of children under 5),0
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0
Prevalence of anemia among pregnant women (%),0
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0
"Prevalence of HIV, female (% ages 15-24)",0
"Prevalence of HIV, male (% ages 15-24)",0
"Prevalence of HIV, total (% of population ages 15-49)",0
"Prevalence of overweight, weight for height (% of children under 5)",0
"Prevalence of overweight, weight for height, female (% of children under 5)",0
"Prevalence of overweight, weight for height, male (% of children under 5)",0
"Prevalence of severe wasting, weight for height (% of children under 5)",0
"Prevalence of severe wasting, weight for height, female (% of children under 5)",0
"Prevalence of severe wasting, weight for height, male (% of children under 5)",0
"Prevalence of stunting, height for age (% of children under 5)",0
"Prevalence of stunting, height for age, female (% of children under 5)",0
"Prevalence of stunting, height for age, male (% of children under 5)",0
Prevalence of undernourishment (% of population),0
"Prevalence of underweight, weight for age (% of children under 5)",0
"Prevalence of underweight, weight for age, female (% of children under 5)",0
"Prevalence of underweight, weight for age, male (% of children under 5)",0
"Prevalence of wasting, weight for height (% of children under 5)",0
"Prevalence of wasting, weight for height, female (% of children under 5)",0
"Prevalence of wasting, weight for height, male (% of children under 5)",0
Price level ratio of PPP conversion factor (GDP) to market exchange rate,0
"Primary completion rate, female (% of relevant age group)",0
"Primary completion rate, male (% of relevant age group)",0
"Primary completion rate, total (% of relevant age group)",0
"Primary education, duration (years)",0
"Primary education, pupils",0
"Primary education, pupils (% female)",0
"Primary education, teachers",0
"Primary education, teachers (% female)",0
Primary government expenditures as a proportion of original approved budget (%),0
"Primary income payments (BoP, current US$)",0
"Primary income receipts (BoP, current US$)",0
Primary school starting age (years),0
Private credit bureau coverage (% of adults),0
"Probability of dying at age 5-14 years (per 1,000 children age 5)",0
Procedures to build a warehouse (number),0
Procedures to register property (number),0
Profit tax (% of commercial profits),0
Progression to secondary school (%),0
"Progression to secondary school, female (%)",0
"Progression to secondary school, male (%)",0
Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),0
Proportion of population pushed below the $3.20 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),0
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),0
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),0
Proportion of seats held by women in national parliaments (%),0
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",0
"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",0
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of women age 15-49),0
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",0
Public and publicly guaranteed debt service (% of GNI),0
Public credit registry coverage (% of adults),0
Public private partnerships investment in energy (current US$),0
Public private partnerships investment in ICT (current US$),0
Public private partnerships investment in transport (current US$),0
Public private partnerships investment in water and sanitation (current US$),0
Pump price for diesel fuel (US$ per liter),0
Pump price for gasoline (US$ per liter),0
"Pupil-teacher ratio, lower secondary",0
"Pupil-teacher ratio, preprimary",0
"Pupil-teacher ratio, primary",0
"Pupil-teacher ratio, secondary",0
"Pupil-teacher ratio, tertiary",0
"Pupil-teacher ratio, upper secondary",0
"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",0
Rail lines (total route-km),0
"Railways, goods transported (million ton-km)",0
"Railways, passengers carried (million passenger-km)",0
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0
Ratio of female to male labor force participation rate (%) (national estimate),0
Real effective exchange rate index (2010 = 100),0
Real interest rate (%),0
Refugee population by country or territory of asylum,0
Refugee population by country or territory of origin,0
Renewable electricity output (% of total electricity output),0
Renewable energy consumption (% of total final energy consumption),0
Renewable internal freshwater resources per capita (cubic meters),0
"Renewable internal freshwater resources, total (billion cubic meters)",0
"Repeaters, primary, female (% of female enrollment)",0
"Repeaters, primary, male (% of male enrollment)",0
"Repeaters, primary, total (% of total enrollment)",0
Research and development expenditure (% of GDP),0
Researchers in R&D (per million people),0
"Reserves and related items (BoP, current US$)",0
"Revenue, excluding grants (% of GDP)",0
"Revenue, excluding grants (current LCU)",0
Risk of catastrophic expenditure for surgical care (% of people at risk),0
Risk of impoverishing expenditure for surgical care (% of people at risk),0
"Risk premium on lending (lending rate minus treasury bill rate, %)",0
Rural land area (sq. km),0
Rural land area where elevation is below 5 meters (% of total land area),0
Rural land area where elevation is below 5 meters (sq. km),0
Rural population,0
Rural population (% of total population),0
Rural population growth (annual %),0
Rural population living in areas where elevation is below 5 meters (% of total population),0
Rural poverty gap at national poverty lines (%),0
Rural poverty headcount ratio at national poverty lines (% of rural population),0
